rank,tag,name,expLevel,trophies,attackWins,defenseWins,clan.tag,clan.name,clan.badgeUrls.small,clan.badgeUrls.large,clan.badgeUrls.medium
1,#P8V98YUL,Vendetta,169,5080,232,8,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
2,#89UCQR90,feyenoord,156,5061,149,11,#JYPRJVU,NORTH 44,https://api-assets.clashofclans.com/badges/70/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png,https://api-assets.clashofclans.com/badges/512/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png,https://api-assets.clashofclans.com/badges/200/zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI.png
3,#C909C88P,钟馗,160,5057,262,13,#YJLY82QG,大唐天子,https://api-assets.clashofclans.com/badges/70/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/512/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/200/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png
4,#YLGPGV9C,房玄龄,135,5051,208,9,#YJLY82QG,大唐天子,https://api-assets.clashofclans.com/badges/70/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/512/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png,https://api-assets.clashofclans.com/badges/200/So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ.png
5,#282UGQGC2,Koi X,141,5048,268,11,#LCLJYQJP,MEGA FAMILY,https://api-assets.clashofclans.com/badges/70/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/512/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png,https://api-assets.clashofclans.com/badges/200/cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg.png
6,#8R9JL2QV,Andico,160,5041,150,9,#YRUYL22,Quantum's Web,https://api-assets.clashofclans.com/badges/70/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/512/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/200/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png
7,#82CUU208,Up in smoke Pie,165,5036,153,37,#L82RP8VQ,QW,https://api-assets.clashofclans.com/badges/70/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/512/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png,https://api-assets.clashofclans.com/badges/200/owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c.png
8,#JJRC0CRC,nick.ko69,151,5031,185,8,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
9,#JYVGVRCC,二桃殺三士,211,5028,296,13,#8Y9VGCL2,木槿花开,https://api-assets.clashofclans.com/badges/70/f2iJF-gjyx5MRzD5z6pekgdgimXO1IE7CE3tr5DguTk.png,https://api-assets.clashofclans.com/badges/512/f2iJF-gjyx5MRzD5z6pekgdgimXO1IE7CE3tr5DguTk.png,https://api-assets.clashofclans.com/badges/200/f2iJF-gjyx5MRzD5z6pekgdgimXO1IE7CE3tr5DguTk.png
10,#GRRC299Y,Ryuji-2/JSS,177,5026,297,7,#PJUGGY0P,TOP OF JAPAN,https://api-assets.clashofclans.com/badges/70/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/512/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png,https://api-assets.clashofclans.com/badges/200/rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ.png
11,#99Y9UC9P,⋆⚜ ᎯℒᎯᏂᏰᎯᏰi ⚜⋆,139,5025,179,11,#LG80YL8V,United Legends,https://api-assets.clashofclans.com/badges/70/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/512/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png,https://api-assets.clashofclans.com/badges/200/qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw.png
